An intermittently pleasing but mostly routine effort .,3.0
"Kidman is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world .",2.0
Once you get into its rhythm ... the movie becomes a heady experience .,4.0
I kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha .,1.0
"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",4.0
"All ends well , sort of , but the frenzied comic moments never click .",1.0
"It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .",3.0
"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",2.0
"The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .",1.0
"An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .",4.0
